LINE 501 : 2020-11-12 15:34:44,858 [INFO    ] Parsing data files for GSEA.............................
LINE 677 : 2020-11-12 15:35:13,406 [DEBUG   ] Assigning font /b'F1' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf'
LINE 677 : 2020-11-12 15:35:13,580 [DEBUG   ] Assigning font /b'F2' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf'
LINE 719 : 2020-11-12 15:35:13,581 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf.
LINE 726 : 2020-11-12 15:35:13,581 [DEBUG   ] Writing TrueType font.
LINE 719 : 2020-11-12 15:35:13,627 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf.
LINE 726 : 2020-11-12 15:35:13,627 [DEBUG   ] Writing TrueType font.
LINE 677 : 2020-11-12 15:35:15,048 [DEBUG   ] Assigning font /b'F1' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf'
LINE 677 : 2020-11-12 15:35:15,222 [DEBUG   ] Assigning font /b'F2' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf'
LINE 719 : 2020-11-12 15:35:15,223 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf.
LINE 726 : 2020-11-12 15:35:15,223 [DEBUG   ] Writing TrueType font.
LINE 719 : 2020-11-12 15:35:15,270 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf.
LINE 726 : 2020-11-12 15:35:15,270 [DEBUG   ] Writing TrueType font.
LINE 677 : 2020-11-12 15:35:16,523 [DEBUG   ] Assigning font /b'F1' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf'
LINE 677 : 2020-11-12 15:35:16,696 [DEBUG   ] Assigning font /b'F2' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf'
LINE 719 : 2020-11-12 15:35:16,697 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf.
LINE 726 : 2020-11-12 15:35:16,697 [DEBUG   ] Writing TrueType font.
LINE 719 : 2020-11-12 15:35:16,742 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf.
LINE 726 : 2020-11-12 15:35:16,742 [DEBUG   ] Writing TrueType font.
LINE 677 : 2020-11-12 15:35:18,046 [DEBUG   ] Assigning font /b'F1' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf'
LINE 677 : 2020-11-12 15:35:18,239 [DEBUG   ] Assigning font /b'F2' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf'
LINE 719 : 2020-11-12 15:35:18,240 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf.
LINE 726 : 2020-11-12 15:35:18,240 [DEBUG   ] Writing TrueType font.
LINE 719 : 2020-11-12 15:35:18,288 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf.
LINE 726 : 2020-11-12 15:35:18,288 [DEBUG   ] Writing TrueType font.
LINE 677 : 2020-11-12 15:35:19,573 [DEBUG   ] Assigning font /b'F1' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf'
LINE 677 : 2020-11-12 15:35:19,758 [DEBUG   ] Assigning font /b'F2' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf'
LINE 719 : 2020-11-12 15:35:19,759 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf.
LINE 726 : 2020-11-12 15:35:19,759 [DEBUG   ] Writing TrueType font.
LINE 719 : 2020-11-12 15:35:19,804 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf.
LINE 726 : 2020-11-12 15:35:19,805 [DEBUG   ] Writing TrueType font.
LINE 677 : 2020-11-12 15:35:21,289 [DEBUG   ] Assigning font /b'F1' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf'
LINE 677 : 2020-11-12 15:35:21,481 [DEBUG   ] Assigning font /b'F2' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf'
LINE 719 : 2020-11-12 15:35:21,482 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf.
LINE 726 : 2020-11-12 15:35:21,482 [DEBUG   ] Writing TrueType font.
LINE 719 : 2020-11-12 15:35:21,527 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf.
LINE 726 : 2020-11-12 15:35:21,527 [DEBUG   ] Writing TrueType font.
LINE 677 : 2020-11-12 15:35:22,968 [DEBUG   ] Assigning font /b'F1' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf'
LINE 677 : 2020-11-12 15:35:23,254 [DEBUG   ] Assigning font /b'F2' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf'
LINE 719 : 2020-11-12 15:35:23,254 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf.
LINE 726 : 2020-11-12 15:35:23,255 [DEBUG   ] Writing TrueType font.
LINE 719 : 2020-11-12 15:35:23,307 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf.
